LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄⁻ [mg/L],SO2-4 [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-]
LOOP4,IS-1,GeoProbe,165.744,3.885,,,,,,,,,,,,0.08,0.06,64.53,,2.07,3.59,0.13,23.31,0.01,0.25,,,
LOOP4,IS-1,GeoProbe,165.744,3.89,1.15,13.7,1.28,0.87,8.74,35.23,27.1,139.94,28.66,,,,,,,,,,,,,,,
LOOP4,IS-1,GeoProbe,165.744,3.98,,,,,,,,,,,,,,,,,,,,,,0.1,11.3,0.0
LOOP4,IS-1,GeoProbe,165.744,4.78,,,,,,,,,,,,,,,,,,,,,,0.1,19.4,0.01
LOOP4,IS-1,GeoProbe,165.744,5.91,,50.14,0.54,12.24,122.4,98.48,534.16,,,,,,,,,,,,,,,,,
LOOP4,IS-1,GeoProbe,165.744,6.0,,,,,,,,,,,,,,,,,,,,,,0.1,9.6,0.01
LOOP4,IS-2,GeoProbe,165.745,3.47,3.78,25.5,0.28,56.62,566.2,91.04,419.37,,,,,,,,,,,,,,,,,
LOOP4,IS-2,GeoProbe,165.745,3.56,,,,,,,,,,,,,,,,,,,,,,30.9,214.2,0.14
LOOP4,IS-2,GeoProbe,165.745,5.91,4.14,42.94,0.22,3.0,30.0,421.64,377.86,,,,,,,,,,,,,,,,,
LOOP4,IS-2,GeoProbe,165.745,6.0,,,,,,,,,,,,,,,,,,,,,,391.6,457.3,0.86
LOOP4,IS-2,GeoProbe,165.745,6.905,,,,,,,,,,,,0.1,0.08,65.76,,4.63,5.56,0.04,44.73,0.01,0.21,,,
LOOP4,IS-2,GeoProbe,165.745,6.91,1.65,29.98,0.27,1.87,18.72,114.14,,,,,,,,,,,,,,,,,,
LOOP4,IS-2,GeoProbe,165.745,7.0,,,,,,,,,,,,,,,,,,,,,,0.0,12.8,0.0
LOOP4,IS-2,GeoProbe,165.745,8.145,,,,,,,,,,,,1.39,0.12,68.13,1.57,4.64,6.03,0.08,31.21,0.01,0.16,,,
LOOP4,IS-2,GeoProbe,165.745,8.15,4.0,48.26,0.48,3.72,37.2,199.26,84.18,,35.37,,,,,,,,,,,,,,,
LOOP4,IS-2,GeoProbe,165.745,8.24,,,,,,,,,,,,,,,,,,,,,,0.2,53.0,0.0
LOOP4,MS-1,GeoProbe,165.746,1.025,,,,,,,,,,,,0.14,0.08,37.16,,8.48,4.36,0.04,39.71,0.01,0.26,,,
LOOP4,MS-1,GeoProbe,165.746,1.03,1.8,8.94,0.16,2.09,20.9,52.88,139.83,,26.93,,,,,,,,,,,,,,,
LOOP4,MS-1,GeoProbe,165.746,1.12,,,,,,,,,,,,,,,,,,,,,,5.4,283.3,0.02
LOOP4,MS-1,GeoProbe,165.746,2.225,,,,,,,,,,,,,,,,,,,,,,68.3,182.3,0.37
LOOP4,MS-1,GeoProbe,165.746,2.275,,,,,,,,,,,,,,,,,,,,,,17.4,90.8,0.19
LOOP4,MS-1,GeoProbe,165.746,2.345,,,,,,,,,,,,0.22,0.11,70.75,,13.91,5.59,0.03,22.12,0.01,0.26,,,
LOOP4,MS-1,GeoProbe,165.746,2.35,0.39,18.9,0.28,41.88,418.77,41.8,57.12,39.43,36.36,,,,,,,,,,,,,,,
LOOP4,MS-1,GeoProbe,165.746,3.47,1.7,19.22,0.32,1.5,15.0,48.3,,,,,,,,,,,,,,,,,,
LOOP4,MS-1,GeoProbe,165.746,3.56,,,,,,,,,,,,,,,,,,,,,,49.1,358.3,0.14
LOOP4,MS-1,GeoProbe,165.746,4.685,,,,,,,,,,,,0.11,0.13,108.8,,24.0,7.06,0.15,15.71,0.02,0.23,,,
LOOP4,MS-1,GeoProbe,165.746,4.69,0.32,21.01,0.36,10.28,102.81,30.09,,35.72,74.3,,,,,,,,,,,,,,,
LOOP4,MS-1,GeoProbe,165.746,4.78,,,,,,,,,,,,,,,,,,,,,,273.4,594.1,0.46
LOOP4,MS-1,GeoProbe,165.746,5.905,,,,,,,,,,,,0.12,0.15,112.96,,18.75,7.64,0.25,20.5,0.02,0.29,,,
LOOP4,MS-1,GeoProbe,165.746,5.91,0.33,24.37,0.52,0.06,0.58,31.33,267.52,48.35,65.24,,,,,,,,,,,,,,,
LOOP4,MS-1,GeoProbe,165.746,6.0,,,,,,,,,,,,,,,,,,,,,,1.2,218.1,0.01
LOOP4,MS-1,GeoProbe,165.746,7.845,,,,,,,,,,,,0.1,0.08,123.69,,1.77,6.16,0.14,20.98,0.01,0.28,,,
LOOP4,MS-1,GeoProbe,165.746,7.85,0.69,28.94,1.63,0.0,0.0,45.14,32.57,51.09,71.95,,,,,,,,,,,,,,,
LOOP4,MS-1,GeoProbe,165.746,8.34,0.48,28.15,2.46,0.0,0.0,47.88,38.16,75.07,64.23,,,0.1,0.08,120.43,,1.4,6.76,0.18,21.21,0.01,0.26,,,
LOOP4,MS-1,GeoProbe,165.746,8.435,,,,,,,,,,,,,,,,,,,,,,48.3,269.4,0.18
LOOP4,MS-1,GeoProbe,165.746,11.655,,,,,,,,,,,,0.11,0.12,98.83,,3.06,3.39,0.11,21.16,0.01,0.27,,,
LOOP4,MS-1,GeoProbe,165.746,11.66,0.72,32.27,0.28,0.07,0.71,136.17,52.55,65.16,30.23,,,,,,,,,,,,,,,
LOOP4,MS-1,GeoProbe,165.746,11.995,,,,,,,,,,,,0.1,0.11,105.42,,3.08,3.68,0.18,23.79,0.01,0.29,,,
LOOP4,MS-1,GeoProbe,165.746,12.0,0.45,24.96,0.16,0.1,0.97,111.02,50.41,34.93,37.54,,,,,,,,,,,,,,,
LOOP4,MS-1,GeoProbe,165.746,12.09,,,,,,,,,,,,,,,,,,,,,,645.9,716.5,0.9
LOOP4,MS-2,GeoProbe,165.747,2.255,,,,,,,,,,,,0.41,0.04,61.96,,1.23,11.85,0.08,29.6,0.01,0.29,,,
LOOP4,MS-2,GeoProbe,165.747,2.26,1.57,9.16,0.06,1.32,13.2,83.97,417.93,,34.65,,,,,,,,,,,,,,,
LOOP4,MS-2,GeoProbe,165.747,2.345,,,,,,,,,,,,,,,,,,,,,,64.4,332.7,0.19
LOOP4,MS-2,GeoProbe,165.747,3.47,,,,,,,,,,,,,,,,,,,,,,0.6,45.6,0.01
LOOP4,MS-2,GeoProbe,165.747,4.38,,,,,,,,,,,,,,,,,,,,,,3.8,48.7,0.08
LOOP4,MS-2,GeoProbe,165.747,5.905,,,,,,,,,,,,0.3,0.03,89.12,,1.63,7.85,0.09,17.14,0.01,0.25,,,
LOOP4,MS-2,GeoProbe,165.747,5.91,0.18,8.19,0.22,0.1,0.97,24.51,30.18,41.81,64.34,,,,,,,,,,,,,,,
LOOP4,MS-2,GeoProbe,165.747,6.0,,,,,,,,,,,,,,,,,,,,,,227.0,434.7,0.52
LOOP4,MS-2,GeoProbe,165.747,6.995,,,,,,,,,,,,0.25,0.11,112.07,,1.94,4.72,0.09,21.86,0.01,0.27,,,
LOOP4,MS-2,GeoProbe,165.747,7.0,0.42,11.3,0.39,0.05,0.48,19.94,235.15,64.95,74.23,,,,,,,,,,,,,,,
LOOP4,MS-2,GeoProbe,165.747,7.09,,,,,,,,,,,,,,,,,,,,,,1.8,205.6,0.01
LOOP4,MS-2,GeoProbe,165.747,8.205,,,,,,,,,,,,0.2,0.04,113.83,,1.34,4.89,0.28,18.16,0.01,0.26,,,
LOOP4,MS-2,GeoProbe,165.747,8.21,0.13,8.91,0.0,0.09,0.89,16.73,98.98,77.94,77.59,,,,,,,,,,,,,,,
LOOP4,MS-2,GeoProbe,165.747,8.3,,,,,,,,,,,,,,,,,,,,,,208.4,418.5,0.5
LOOP4,MS-2,GeoProbe,165.747,9.205,,,,,,,,,,,,0.21,0.05,82.43,,1.29,4.42,0.26,15.36,0.01,0.2,,,
LOOP4,MS-2,GeoProbe,165.747,9.21,0.39,12.74,0.14,0.12,1.16,21.95,116.48,33.44,54.02,,,,,,,,,,,,,,,
LOOP4,MS-2,GeoProbe,165.747,9.3,,,,,,,,,,,,,,,,,,,,,,312.3,518.6,0.6
LOOP4,MS-2,GeoProbe,165.747,9.565,,,,,,,,,,,,0.15,0.02,85.79,,1.31,4.27,0.1,14.96,0.01,0.21,,,
LOOP4,MS-2,GeoProbe,165.747,9.57,0.26,14.93,0.11,0.1,1.01,36.2,94.83,48.62,48.03,,,,,,,,,,,,,,,
LOOP4,MS-2,GeoProbe,165.747,9.66,,,,,,,,,,,,,,,,,,,,,,301.5,620.5,0.49
LOOP4,MS-2,GeoProbe,165.747,10.785,,,,,,,,,,,,0.15,0.06,102.45,,1.98,5.34,0.18,18.73,0.02,0.27,,,
LOOP4,MS-2,GeoProbe,165.747,10.79,0.28,20.61,0.28,0.07,0.67,157.28,506.67,83.67,29.37,,,,,,,,,,,,,,,
LOOP4,MS-2,GeoProbe,165.747,10.88,,,,,,,,,,,,,,,,,,,,,,485.7,537.4,0.9
LOOP4,TL-1,GeoProbe,165.742,2.245,,,,,,,,,,,,0.1,0.17,78.65,,1.43,4.84,0.02,31.61,0.01,0.33,,,
LOOP4,TL-1,GeoProbe,165.742,2.25,0.38,8.06,0.0,0.0,0.0,14.69,2.0,51.76,53.85,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,2.34,,,,,,,,,,,,,,,,,,,,,,1.6,297.8,0.01
LOOP4,TL-1,GeoProbe,165.742,3.465,,,,,,,,,,,,0.09,0.24,92.33,,2.01,3.99,0.03,49.85,0.01,0.25,,,
LOOP4,TL-1,GeoProbe,165.742,3.47,3.22,18.42,0.12,1.84,18.4,57.1,219.38,,,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,3.56,,,,,,,,,,,,,,,,,,,,,,4.0,173.2,0.02
LOOP4,TL-1,GeoProbe,165.742,4.685,,,,,,,,,,,,0.1,0.24,94.69,0.1,1.7,3.92,0.03,31.24,0.01,0.22,,,
LOOP4,TL-1,GeoProbe,165.742,4.69,1.24,14.65,0.08,0.94,9.4,32.3,139.22,,58.31,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,4.78,,,,,,,,,,,,,,,,,,,,,,224.2,521.8,0.43
LOOP4,TL-1,GeoProbe,165.742,6.785,,,,,,,,,,,,0.06,0.15,111.34,,1.59,5.02,0.92,14.2,0.01,0.23,,,
LOOP4,TL-1,GeoProbe,165.742,6.79,0.22,14.81,0.0,0.0,0.0,35.89,2.0,85.88,67.02,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,7.125,,,,,,,,,,,,0.05,0.09,120.09,,1.82,5.35,0.05,17.09,0.01,0.25,,,
LOOP4,TL-1,GeoProbe,165.742,7.13,0.37,14.75,0.0,0.66,6.63,33.46,45.3,59.98,74.36,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,7.225,,,,,,,,,,,,,,,,,,,,,,75.8,114.3,0.66
LOOP4,TL-1,GeoProbe,165.742,7.955,,,,,,,,,,,,0.07,0.07,89.41,,2.76,4.47,0.06,15.02,0.02,0.23,,,
LOOP4,TL-1,GeoProbe,165.742,7.96,0.36,16.93,0.08,0.0,0.0,92.84,14.55,101.09,38.65,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,8.295,,,,,,,,,,,,0.06,0.11,151.4,,3.91,8.17,0.2,21.97,0.07,0.39,,,
LOOP4,TL-1,GeoProbe,165.742,8.3,0.62,17.59,0.0,0.0,0.0,209.9,33.16,100.04,49.21,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,8.415,,,,,,,,,,,,,,,,,,,,,,167.9,205.5,0.82
LOOP4,TL-1,GeoProbe,165.742,9.225,,,,,,,,,,,,0.05,0.09,95.05,0.1,5.48,6.15,0.5,25.5,0.01,0.25,,,
LOOP4,TL-1,GeoProbe,165.742,9.23,0.32,22.6,0.24,0.0,0.0,39.68,41.54,92.34,57.37,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,9.565,,,,,,,,,,,,0.07,0.06,118.77,0.0,2.46,6.81,0.09,14.98,0.05,0.25,,,
LOOP4,TL-1,GeoProbe,165.742,9.57,0.22,18.56,0.35,0.0,0.0,94.04,84.96,97.99,53.03,,,,,,,,,,,,,,,
LOOP4,TL-1,GeoProbe,165.742,9.66,,,,,,,,,,,,,,,,,,,,,,132.8,274.8,0.48
LOOP4,TL-2,GeoProbe,165.743,2.25,1.02,39.95,0.49,51.16,511.6,60.23,175.35,,58.2,,,,,,,,,,,,,,,
LOOP4,TL-2,GeoProbe,165.743,2.34,,,,,,,,,,,,,,,,,,,,,,140.0,261.7,0.53
LOOP4,TL-2,GeoProbe,165.743,2.87,,49.7,1.2,2.43,24.32,132.11,,,,,,,,,,,,,,,,,,
LOOP4,TL-2,GeoProbe,165.743,2.96,,,,,,,,,,,,,,,,,,,,,,286.2,312.5,0.92
LOOP4,TL-2,GeoProbe,165.743,3.47,3.22,34.21,0.69,1.07,10.7,230.22,200.02,,,,,,,,,,,,,,,,,
LOOP4,TL-2,GeoProbe,165.743,3.56,,,,,,,,,,,,,,,,,,,,,,324.7,381.1,0.85
LOOP4,TL-2,GeoProbe,165.743,4.04,1.51,39.27,0.63,1.18,11.8,313.22,153.73,,,,,,,,,,,,,,,,,
LOOP4,TL-2,GeoProbe,165.743,4.13,,,,,,,,,,,,,,,,,,,,,,390.9,463.1,0.84
LOOP4,TL-2,GeoProbe,165.743,4.685,,,,,,,,,,,,0.12,0.09,242.17,0.0,5.06,15.25,0.24,45.6,0.03,0.72,,,
LOOP4,TL-2,GeoProbe,165.743,4.69,2.32,36.22,1.1,1.18,11.8,537.4,560.79,,22.86,,,,,,,,,,,,,,,
LOOP4,TL-2,GeoProbe,165.743,4.78,,,,,,,,,,,,,,,,,,,,,,473.7,557.8,0.85
LOOP4,TL-2,GeoProbe,165.743,5.31,2.48,51.44,1.0,1.76,17.6,512.66,284.58,,,,,,,,,,,,,,,,,
LOOP4,TL-2,GeoProbe,165.743,5.4,,,,,,,,,,,,,,,,,,,,,,488.6,562.1,0.87
LOOP4,TL-2,GeoProbe,165.743,5.91,3.12,48.94,0.96,1.5,15.0,225.42,83.67,,,,,,,,,,,,,,,,,
LOOP4,TL-2,GeoProbe,165.743,6.0,,,,,,,,,,,,,,,,,,,,,,402.4,468.3,0.86
