Source_File,ID,Grounding,Cal start,Cal end,Notes,Redox_Interface_Human,Redox_Interface_Machine
LOOP4\meltwater sand-1b_20210310_132147_RE1Max.csv,meltwater sand-1b,Steelbrush,,,,,
LOOP4\meltwater sand-1b_20210310_132147_RE3Max.csv,meltwater sand-1b,Steelbrush,,,,,
LOOP4\meltwater sand-2a_20210310_113910_RE1Max.csv,meltwater sand-2a,,,,,,
LOOP4\meltwater sand-2a_20210310_113910_RE3Max.csv,meltwater sand-2a,,,,,,
LOOP4\meltwater sand-2b_20210310_121214_RE1Max.csv,meltwater sand-2b,Steelbrush,,,,,
LOOP4\meltwater sand-2b_20210310_121214_RE3Max.csv,meltwater sand-2b,Steelbrush,,,,,
LOOP6\P1a_20210224_094034_RE1Max.csv,1a,,,,,,
LOOP6\P1a_20210224_094034_RE3Max.csv,1a,,,,,,
LOOP6\P1b_20210224_102251_RE1Max.csv,1b,Steelbrush,,,,,
LOOP6\P1b_20210224_102251_RE3Max.csv,1b,Steelbrush,,,,,
LOOP6\P2Aa_20210224_143417_RE1Max.csv,2Aa,,,,,,
LOOP6\P2Aa_20210224_143417_RE3Max.csv,2Aa,,,,,,
LOOP6\P2Ab_20210224_153109_RE1Max.csv,2Ab,Steelbrush,,,,,
LOOP6\P2Ab_20210224_153109_RE3Max.csv,2Ab,Steelbrush,,,,,
LOOP6\P2a_20210224_124253_RE1Max.csv,2a,,,,,,
LOOP6\P2a_20210224_124253_RE3Max.csv,2a,,,,,,
LOOP6\P2b_20210224_132359_RE1Max.csv,2b,Steelbrush,,,,,
LOOP6\P2b_20210224_132359_RE3Max.csv,2b,Steelbrush,,,,,
LOOP6\P3a_20210225_084413_RE1Max.csv,3a,,,,,,
LOOP6\P3a_20210225_084413_RE3Max.csv,3a,,,,,,
LOOP6\P3b_20210225_091435_RE1Max.csv,3b,,Steelbrush,,,,
LOOP6\P3b_20210225_091435_RE3Max.csv,3b,,Steelbrush,,,,
LOOP6\P4a_20210225_110856_RE1Max.csv,4a,,,,,,
LOOP6\P4a_20210225_110856_RE3Max.csv,4a,,,,,,
